,iid_pid,iid,id,gender,idg,condtn,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field_cd,race,imprace,imprelig,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,field,from,zipcode,career
0,6804.0,453.0,14.0,Male,24.0,2.0,10.0,439.0,no,0,no,29.0,2.0,20,10,50,5,10,5,3.0,10.0,10.0,3.0,10.0,0.0,27.0,Law ,Asian/Pacific Islander/Asian-American,4.0,3.0,5,To meet new people,6.0,Once a month,Lawyer ,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,5,5,5,5,5,5,law,"Shanghai, China","210,009",lawyer
1,6803.0,453.0,14.0,Male,24.0,2.0,9.0,438.0,no,0,no,23.0,2.0,14,15,16,17,18,20,3.0,9.0,10.0,3.0,10.0,2.0,27.0,Law ,Asian/Pacific Islander/Asian-American,4.0,3.0,5,To meet new people,6.0,Once a month,Lawyer ,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,5,5,5,5,5,5,law,"Shanghai, China","210,009",lawyer
2,6802.0,453.0,14.0,Male,24.0,2.0,8.0,437.0,no,0,no,23.0,2.0,15,15,18,18,14,20,6.0,8.0,10.0,6.0,9.0,5.0,27.0,Law ,Asian/Pacific Islander/Asian-American,4.0,3.0,5,To meet new people,6.0,Once a month,Lawyer ,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,5,5,5,5,5,5,law,"Shanghai, China","210,009",lawyer
3,6801.0,453.0,14.0,Male,24.0,2.0,7.0,436.0,no,0,no,23.0,2.0,28,8,17,22,17,8,7.0,10.0,8.0,8.0,8.0,7.0,27.0,Law ,Asian/Pacific Islander/Asian-American,4.0,3.0,5,To meet new people,6.0,Once a month,Lawyer ,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,5,5,5,5,5,5,law,"Shanghai, China","210,009",lawyer
4,6800.0,453.0,14.0,Male,24.0,2.0,6.0,435.0,no,0,no,22.0,1.0,25,5,20,25,15,10,2.0,7.333333333333333,7.666666666666667,6.0,7.333333333333333,4.333333333333333,27.0,Law ,Asian/Pacific Islander/Asian-American,4.0,3.0,5,To meet new people,6.0,Once a month,Lawyer ,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,5,5,5,5,5,5,law,"Shanghai, China","210,009",lawyer
5,6799.0,453.0,14.0,Male,24.0,2.0,5.0,434.0,no,0,no,27.0,2.0,30,15,15,30,0,10,4.0,8.0,7.0,5.0,5.0,6.0,27.0,Law ,Asian/Pacific Islander/Asian-American,4.0,3.0,5,To meet new people,6.0,Once a month,Lawyer ,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,5,5,5,5,5,5,law,"Shanghai, China","210,009",lawyer
6,6798.0,453.0,14.0,Male,24.0,2.0,4.0,433.0,no,0,no,30.0,6.0,20,20,20,20,10,10,2.0,7.0,7.0,2.0,7.0,1.0,27.0,Law ,Asian/Pacific Islander/Asian-American,4.0,3.0,5,To meet new people,6.0,Once a month,Lawyer ,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,5,5,5,5,5,5,law,"Shanghai, China","210,009",lawyer
7,6797.0,453.0,14.0,Male,24.0,2.0,3.0,432.0,yes,0,no,28.0,2.0,15,30,30,10,10,5,3.0,9.0,10.0,5.0,10.0,10.0,27.0,Law ,Asian/Pacific Islander/Asian-American,4.0,3.0,5,To meet new people,6.0,Once a month,Lawyer ,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,5,5,5,5,5,5,law,"Shanghai, China","210,009",lawyer
8,6796.0,453.0,14.0,Male,24.0,2.0,2.0,431.0,no,0,yes,27.0,4.0,15,15,25,15,15,15,3.0,8.0,7.0,4.0,4.0,1.0,27.0,Law ,Asian/Pacific Islander/Asian-American,4.0,3.0,5,To meet new people,6.0,Once a month,Lawyer ,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,5,5,5,5,5,5,law,"Shanghai, China","210,009",lawyer
9,6795.0,453.0,14.0,Male,24.0,2.0,1.0,430.0,no,0,yes,22.0,4.0,10,25,15,20,15,15,4.0,8.0,9.0,8.0,9.0,2.0,27.0,Law ,Asian/Pacific Islander/Asian-American,4.0,3.0,5,To meet new people,6.0,Once a month,Lawyer ,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,5,5,5,5,5,5,law,"Shanghai, China","210,009",lawyer
